,Артикул,Для кого,Примерный вес,Тип металла,Проба,Покрытие,Тип вставки,Форма вставки,Количество,Цвет,Вес,Ширина кольца,Ширина,Высота,Номер страницы,Цена со скидкой,Цена без скидки
34,1011559,Для женщин,1.48,Комбинированное золото,585.0,Родирование,Бриллиант (природный),Круг,1.0,Бесцветный,0.036,2.0,4.0,4.0,2,39600,87990
35,1011553,Для женщин,1.34,Красное золото,585.0,Родирование,Бриллиант (природный),Круг,1.0,Бесцветный,0.021,2.4602927436935533,7.272491669751944,3.3737936154417225,2,18990,18990
36,1011069,Для женщин,1.67,Белое золото,585.0,Неизвестно,Бриллиант (природный),Круг,1.0,Бесцветный,0.109,2.4602927436935533,7.272491669751944,3.3737936154417225,2,67500,149990
37,1011501,Для женщин,1.2,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,1.0,Бесцветный,0.157,2.4602927436935533,7.272491669751944,3.3737936154417225,2,87750,194990
38,1012031,Для женщин,1.28,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,1.0,Бесцветный,0.03,2.0,4.0,4.0,2,32850,72990
39,1011909-3,Для женщин,1.15,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,1.0,Бесцветный,0.11,2.4602927436935533,7.272491669751944,3.3737936154417225,2,60750,134990
40,1011496,Для женщин,1.09,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,1.0,Бесцветный,0.08,2.4602927436935533,7.272491669751944,3.3737936154417225,2,47250,104990
41,1011396-3,Для женщин,0.75,Белое золото,585.0,Родирование,Бриллиант (природный),Круг,15.0,Бесцветный,0.044,2.4602927436935533,7.272491669751944,3.3737936154417225,2,21600,47990
42,1011799,Для женщин,1.72,Белое золото,585.0,Неизвестно,Бриллиант (природный),Круг,26.0,Бесцветный,0.075,2.4602927436935533,7.272491669751944,3.3737936154417225,2,47250,104990
43,1011771,Для женщин,1.61,Белое золото,585.0,Неизвестно,Бриллиант (природный),Круг,7.0,Бесцветный,0.148,2.0,3.0,3.0,2,34800,115990
44,1011500,Для женщин,1.22,Красное золото,585.0,Родирование,Бриллиант (природный),Круг,1.0,Бесцветный,0.157,2.4602927436935533,7.272491669751944,3.3737936154417225,2,87750,194990
45,1011532,Для женщин,1.49,Комбинированное золото,585.0,Родирование,Бриллиант (природный),Круг,1.0,Бесцветный,0.1,2.0,4.0,4.0,2,65250,144990
46,1011798,Для женщин,1.73,Красное золото,585.0,Неизвестно,Бриллиант (природный),Круг,26.0,Бесцветный,0.075,2.0,3.0,2.0,2,47250,104990
47,1011548,Для женщин,1.39,Красное золото,585.0,Родирование,Бриллиант (природный),Круг,38.0,Бесцветный,0.11,2.4602927436935533,7.272491669751944,3.3737936154417225,2,47250,104990
48,1011804,Для женщин,0.88,Комбинированное золото,585.0,Родирование,Бриллиант (природный),Круг,1.0,Бесцветный,0.01,1.0,3.0,2.0,2,12990,12990
49,019467,Для женщин,1.21,Красное золото,585.0,Родирование,Фианит,Круг,12.0,Бесцветный,0.12,1.0,7.272491669751944,3.3737936154417225,2,8990,8990
50,019424,Для женщин,1.09,Красное золото,585.0,Алмазная грань,Без вставок,Без вставок,0.0,Без вставок,0.0,1.0,7.272491669751944,3.3737936154417225,2,7990,7990
51,716384,Для женщин,1.79,Красное золото,585.0,Родирование,Горный хрусталь,Антик,1.0,Бесцветный,0.532,2.0,7.272491669751944,3.3737936154417225,2,21000,69990
52,791258,Для женщин,2.03,Красное золото,585.0,Неизвестно,Жемчуг натуральный,Круг,4.0,Белый,2.067,1.0,7.272491669751944,3.3737936154417225,2,18000,59990
