,Артикул,Для кого,Примерный вес,Тип металла,Проба,Покрытие,Тип вставки,Форма вставки,Количество,Цвет,Вес,Ширина кольца,Ширина,Высота,Номер страницы,Цена со скидкой,Цена без скидки
3744,018637-3,Для женщин,1.12,Белое золото,585.0,Родирование,Фианит,Круг,1.0,Бесцветный,0.297,2.4602927436935533,7.272491669751944,3.3737936154417225,125,11250,24990
3745,018637-4,Для женщин,0.95,Красное золото,375.0,Родирование,Фианит,Круг,1.0,Бесцветный,0.297,2.4602927436935533,7.272491669751944,3.3737936154417225,125,9000,19990
3746,018638-4,Для женщин,1.1,Красное золото,375.0,Родирование,Фианит,Круг,1.0,Бесцветный,0.201,2.4602927436935533,7.272491669751944,3.3737936154417225,125,8100,17990
3747,018640-3,Для женщин,1.67,Белое золото,585.0,Родирование,Фианит,Круг,1.0,Бесцветный,0.846,2.4602927436935533,7.272491669751944,3.3737936154417225,125,17100,37990
3748,018644-2,Для женщин,1.38,Жёлтое золото,585.0,Родирование,Фианит,Круг,1.0,Бесцветный,0.451,2.4602927436935533,7.272491669751944,3.3737936154417225,125,15750,34990
3749,018648-2,Для женщин,3.12,Жёлтое золото,585.0,Родирование,Без вставок,Без вставок,0.0,Без вставок,0.0,2.0,14.0,3.0,125,38250,84990
3750,018653-11,Для женщин,1.44,Красное золото,585.0,Неизвестно,Фианит,Круг,17.0,Бесцветный,0.145,2.0,4.0,2.0,125,33750,74990
3751,018653-3,Для женщин,1.41,Белое золото,585.0,Родирование,Фианит,Круг,17.0,Бесцветный,0.145,2.4602927436935533,7.272491669751944,3.3737936154417225,125,14850,32990
3752,018653-4,Для женщин,1.22,Красное золото,375.0,Родирование,Фианит,Круг,17.0,Бесцветный,0.145,2.4602927436935533,7.272491669751944,3.3737936154417225,125,9000,19990
3753,018654-2,Для женщин,2.65,Жёлтое золото,585.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,2.0,10.0,3.0,125,28350,62990
3754,018654-3,Для женщин,2.66,Белое золото,585.0,Родирование,Без вставок,Без вставок,0.0,Без вставок,0.0,2.0,10.0,3.0,125,26100,57990
3755,018656-2,Для женщин,2.59,Жёлтое золото,585.0,Родирование,Фианит,Круг,16.0,Бесцветный,0.136,1.0,20.0,2.0,125,28350,62990
3756,018673-2,Для женщин,1.67,Жёлтое золото,585.0,Родирование,Фианит,Багет,1.0,Бесцветный,0.328,2.4602927436935533,7.272491669751944,3.3737936154417225,125,18000,39990
3757,018681-4,Для женщин,1.35,Красное золото,375.0,Родирование,Фианит,Круг,10.0,Бесцветный,0.085,2.4602927436935533,7.272491669751944,3.3737936154417225,125,13500,29990
3758,018686-3,Для женщин,2.09,Белое золото,585.0,Родирование,Без вставок,Без вставок,0.0,Без вставок,0.0,2.0,7.0,2.0,125,26100,57990
3759,018688,Для женщин,1.97,Красное золото,585.0,Родирование,Фианит,Круг,20.0,Бесцветный,0.17,2.0,4.0,2.0,125,21600,47990
3760,018705-2,Для женщин,3.52,Жёлтое золото,585.0,Родирование,Без вставок,Без вставок,0.0,Без вставок,0.0,2.0,12.0,3.0,125,37350,82990
3761,018706-2,Для женщин,2.19,Жёлтое золото,585.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,2.0,9.0,2.0,125,23850,52990
3762,018707-2,Для женщин,2.5,Жёлтое золото,585.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,1.0,19.0,2.0,125,23850,52990
3763,018708-2,Для женщин,2.53,Жёлтое золото,585.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,2.0,11.0,3.0,125,23000,114990
3764,018711-3,Для женщин,0.84,Белое золото,585.0,Родирование,Без вставок,Без вставок,0.0,Без вставок,0.0,2.4602927436935533,7.272491669751944,3.3737936154417225,125,11600,28990
3765,018717-2,Для женщин,2.94,Жёлтое золото,585.0,Родирование,Без вставок,Без вставок,0.0,Без вставок,0.0,2.0,11.0,3.0,125,30600,67990
3766,018722,Для женщин,4.82,Красное золото,585.0,Неизвестно,Фианит,Круг,1.0,Бесцветный,0.846,3.0,17.0,7.0,125,44100,97990
3767,018730,Для женщин,2.89,Красное золото,585.0,Родирование,Фианит,Круг,4.0,Бесцветный,0.262,2.0,10.0,3.0,125,32850,72990
3768,018732-2,Для женщин,3.39,Жёлтое золото,585.0,Неизвестно,Фианит,Круг,1.0,Бесцветный,0.297,2.0,10.0,3.0,125,47250,104990
3769,018736-2,Для женщин,3.78,Жёлтое золото,585.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,3.0,18.0,2.0,125,39600,87990
3770,018736-4,Для женщин,3.37,Красное золото,375.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,2.4602927436935533,7.272491669751944,3.3737936154417225,125,23850,52990
3771,018741,Для женщин,2.65,Красное золото,585.0,Алмазная грань,Без вставок,Без вставок,0.0,Без вставок,0.0,2.0,10.0,2.0,125,28350,62990
3772,018747-2,Для женщин,1.58,Жёлтое золото,585.0,"Алмазная грань,  Родирование",Без вставок,Без вставок,0.0,Без вставок,0.0,2.4602927436935533,7.272491669751944,3.3737936154417225,125,18000,39990
3773,018763-2,Для женщин,1.64,Жёлтое золото,585.0,Неизвестно,Фианит,Круг,1.0,Бесцветный,0.451,2.4602927436935533,7.272491669751944,3.3737936154417225,125,17100,37990
3774,018766-3,Для женщин,1.79,Белое золото,585.0,Родирование,Без вставок,Без вставок,0.0,Без вставок,0.0,3.0,21.0,1.0,125,17100,37990
3775,018769-2,Для женщин,1.84,Жёлтое золото,585.0,Родирование,Фианит,Круг,1.0,Бесцветный,0.451,2.4602927436935533,7.272491669751944,3.3737936154417225,125,20250,44990
3776,018772-2,Для женщин,2.75,Жёлтое золото,585.0,Неизвестно,Фианит,Круг,8.0,Бесцветный,0.132,2.4602927436935533,7.272491669751944,3.3737936154417225,125,28350,62990
3777,018774-2,Для женщин,3.12,Жёлтое золото,585.0,Родирование,Без вставок,Без вставок,0.0,Без вставок,0.0,2.4602927436935533,7.272491669751944,3.3737936154417225,125,33750,74990
3778,018778-2,Для женщин,1.63,Жёлтое золото,585.0,Родирование,Без вставок,Без вставок,0.0,Без вставок,0.0,2.4602927436935533,7.272491669751944,3.3737936154417225,125,18000,39990
3779,018807-2,Для женщин,1.77,Жёлтое золото,585.0,Родирование,Фианит,Круг,1.0,Бесцветный,0.846,2.0,7.0,4.0,125,17100,37990
3780,018812-2,Для женщин,1.45,Жёлтое золото,585.0,Родирование,Фианит,Круг,1.0,Бесцветный,0.451,1.0,6.0,3.0,125,14850,32990
3781,018812-4,Для женщин,1.31,Красное золото,375.0,Родирование,Фианит,Круг,1.0,Бесцветный,0.451,1.0,6.0,3.0,125,9450,20990
3782,018814-4,Для женщин,1.12,Красное золото,375.0,Родирование,Фианит,Круг,35.0,Бесцветный,0.298,1.0,6.0,2.0,125,10350,22990
3783,018821-2,Для женщин,1.83,Жёлтое золото,585.0,Родирование,Фианит,Круг,1.0,Бесцветный,0.201,2.0,2.0,5.0,125,21600,47990
3784,018840-4,Для женщин,0.75,Красное золото,375.0,Родирование,Фианит,Круг,1.0,Бесцветный,0.122,2.0,3.0,3.0,125,5170,11490
3785,018844-2,Для женщин,1.87,Жёлтое золото,585.0,Родирование,Фианит,Круг,43.0,Бесцветный,0.366,2.4602927436935533,7.272491669751944,3.3737936154417225,125,20250,44990
3786,018845-2,Для женщин,1.02,Жёлтое золото,585.0,Родирование,Фианит,Багет,1.0,Бесцветный,0.163,2.4602927436935533,7.272491669751944,3.3737936154417225,125,9450,20990
3787,018845-3,Для женщин,1.01,Белое золото,585.0,Родирование,Фианит,Багет,1.0,Бесцветный,0.163,2.4602927436935533,7.272491669751944,3.3737936154417225,125,13500,29990
3788,018848-3,Для женщин,1.79,Белое золото,585.0,Родирование,Без вставок,Без вставок,0.0,Без вставок,0.0,2.4602927436935533,7.272491669751944,3.3737936154417225,126,18900,62990
3789,018849-4,Для женщин,1.11,Красное золото,375.0,Родирование,Фианит,Круг,32.0,Бесцветный,0.272,2.0,4.0,1.0,126,9900,21990
3790,018851-2,Для женщин,1.34,Жёлтое золото,585.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,2.0,4.0,5.0,126,19350,42990
3791,018852-2,Для женщин,2.36,Жёлтое золото,585.0,Родирование,Фианит,Круг,1.0,Бесцветный,0.618,2.0,5.0,4.0,126,26100,57990
3792,018853-2,Для женщин,2.26,Жёлтое золото,585.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,2.0,8.0,2.0,126,23850,52990
3793,018854-3,Для женщин,1.6,Белое золото,585.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,2.0,11.0,2.0,126,18000,39990
3794,018860-3,Для женщин,1.51,Белое золото,585.0,Родирование,Без вставок,Без вставок,0.0,Без вставок,0.0,2.4602927436935533,7.272491669751944,3.3737936154417225,126,15750,34990
3795,018863-11,Для женщин,1.0,Красное золото,585.0,Неизвестно,Фианит,Круг,5.0,Бесцветный,0.612,1.0,3.0,2.0,126,9450,20990
3796,018869-2,Для женщин,0.83,Жёлтое золото,585.0,Родирование,Фианит,Круг,4.0,Бесцветный,0.034,2.4602927436935533,7.272491669751944,3.3737936154417225,126,9000,19990
3797,018870-2,Для женщин,0.74,Жёлтое золото,585.0,Родирование,Фианит,Круг,13.0,Бесцветный,0.111,1.0,7.0,1.0,126,11470,25490
3798,018877-2,Для женщин,1.49,Жёлтое золото,585.0,Родирование,Фианит,Круг,42.0,Бесцветный,0.42,2.0,3.0,1.0,126,20250,44990
3799,018878-2,Для женщин,2.35,Жёлтое золото,585.0,Родирование,Фианит,Круг,17.0,Бесцветный,0.485,3.0,11.0,2.0,126,36220,80490
3800,018883-2,Для женщин,2.57,Жёлтое золото,585.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,2.4602927436935533,7.272491669751944,3.3737936154417225,126,27000,89990
3801,018883-3,Для женщин,2.57,Белое золото,585.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,2.4602927436935533,7.272491669751944,3.3737936154417225,126,33750,74990
3802,018887-2,Для женщин,1.07,Жёлтое золото,585.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,1.0,7.272491669751944,3.3737936154417225,126,14850,32990
3803,018889-2,Для женщин,2.93,Жёлтое золото,585.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,3.0,7.0,2.0,126,37800,94490
3804,018896-2,Для женщин,1.12,Жёлтое золото,585.0,Родирование,Фианит,Круг,44.0,Бесцветный,0.44,2.0,2.0,1.0,126,15400,38490
3805,018930-2,Для женщин,2.15,Жёлтое золото,585.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,2.0,11.0,7.0,126,26100,57990
3806,018937-2,Для женщин,2.55,Жёлтое золото,585.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,2.0,6.0,6.0,126,27000,59990
3807,018942-2,Для женщин,1.59,Жёлтое золото,585.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,1.0,6.0,7.0,126,17100,37990
3808,018956-2,Для женщин,1.8,Жёлтое золото,585.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,2.4602927436935533,7.272491669751944,3.3737936154417225,126,18000,39990
3809,018957-3,Для женщин,1.01,Белое золото,585.0,Родирование,Фианит,Круг,16.0,Бесцветный,0.136,2.4602927436935533,7.272491669751944,3.3737936154417225,126,12000,39990
3810,018959-3,Для женщин,1.2,Белое золото,585.0,Родирование,Фианит,Круг,13.0,Бесцветный,0.371,1.0,5.0,2.0,126,12600,27990
3811,018960,Для женщин,1.28,Красное золото,585.0,Неизвестно,Фианит,Круг,21.0,Бесцветный,1.376,2.0,3.0,2.0,126,17100,37990
3812,018961,Для женщин,1.32,Красное золото,585.0,Неизвестно,Фианит,Круг,21.0,Чёрный,0.697,2.0,3.0,2.0,126,17100,37990
3813,018962-3,Для женщин,1.14,Белое золото,585.0,Родирование,Фианит,Круг,48.0,Бесцветный,0.408,2.0,3.0,1.0,126,17100,37990
3814,018965-3,Для женщин,0.92,Белое золото,585.0,Родирование,Фианит,Круг,3.0,Бесцветный,0.197,2.4602927436935533,7.272491669751944,3.3737936154417225,126,9900,21990
3815,018968-2,Для женщин,2.35,Жёлтое золото,585.0,Неизвестно,Фианит,Багет,6.0,Бесцветный,0.979,2.4602927436935533,7.272491669751944,3.3737936154417225,126,22500,74990
3816,018969-2,Для женщин,2.43,Жёлтое золото,585.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,1.0,13.0,7.0,126,27000,59990
3817,018979-2,Для женщин,1.09,Жёлтое золото,585.0,Родирование,Фианит,Круг,13.0,Бесцветный,0.111,2.4602927436935533,7.272491669751944,3.3737936154417225,126,10800,23990
3818,018979-3,Для женщин,1.12,Белое золото,585.0,Родирование,Фианит,Круг,13.0,Бесцветный,0.111,2.4602927436935533,7.272491669751944,3.3737936154417225,126,13500,29990
3819,018984-3,Для женщин,0.91,Белое золото,585.0,Родирование,Фианит,Круг,5.0,Бесцветный,0.143,2.4602927436935533,7.272491669751944,3.3737936154417225,126,9000,19990
3820,018991-2,Для женщин,1.74,Жёлтое золото,585.0,Неизвестно,Фианит,Круг,1.0,Бесцветный,0.029,2.4602927436935533,7.272491669751944,3.3737936154417225,126,24750,54990
3821,018995-11,Для женщин,0.72,Красное золото,585.0,Неизвестно,Фианит,Круг,1.0,Бесцветный,0.451,1.0,4.0,3.0,126,23850,52990
3822,019000-2,Для женщин,3.79,Жёлтое золото,585.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,2.0,20.0,4.0,126,41850,92990
3823,019002-2,Для женщин,0.99,Жёлтое золото,585.0,Родирование,Фианит,Круг,9.0,Бесцветный,0.257,1.0,18.0,2.0,126,15300,33990
3824,019008-4,Для женщин,0.95,Красное золото,375.0,Родирование,Фианит,Круг,1.0,Бесцветный,0.451,1.0,4.0,3.0,126,6750,14990
3825,019010-11,Для женщин,1.21,Красное золото,585.0,Неизвестно,Фианит,Круг,10.0,Бесцветный,0.165,1.0,3.0,2.0,126,39600,87990
3826,019010-2,Для женщин,1.16,Жёлтое золото,585.0,Родирование,Фианит,Круг,10.0,Бесцветный,0.165,1.0,3.0,2.0,126,12150,26990
3827,019010-3,Для женщин,1.16,Белое золото,585.0,Родирование,Фианит,Круг,10.0,Бесцветный,0.165,1.0,3.0,2.0,126,12600,27990
3828,019021-4,Для женщин,0.95,Красное золото,375.0,Родирование,Фианит,Круг,20.0,Бесцветный,0.17,1.0,7.0,2.0,126,6750,14990
3829,019022-3,Для женщин,1.61,Белое золото,585.0,Родирование,Фианит,Круг,1.0,Бесцветный,0.846,1.0,5.0,4.0,126,15750,34990
3830,019025-2,Для женщин,1.4,Жёлтое золото,585.0,Родирование,Фианит,Круг,1.0,Бесцветный,0.451,2.4602927436935533,7.272491669751944,3.3737936154417225,126,14400,47990
3831,019026-2,Для женщин,1.22,Жёлтое золото,585.0,Родирование,Фианит,Круг,1.0,Бесцветный,0.451,2.4602927436935533,7.272491669751944,3.3737936154417225,126,11700,25990
3832,019029-2,Для женщин,1.7,Жёлтое золото,585.0,Родирование,Фианит,Круг,1.0,Бесцветный,1.455,2.4602927436935533,7.272491669751944,3.3737936154417225,126,16500,54990
3833,019031-3,Для женщин,1.1,Белое золото,585.0,Родирование,Фианит,Круг,30.0,Бесцветный,1.29,2.0,2.0,2.0,126,17100,37990
3834,019039-2,Для женщин,1.28,Жёлтое золото,585.0,Родирование,Фианит,Круг,10.0,Бесцветный,0.085,1.0,6.0,1.0,126,11700,25990
3835,019041-2,Для женщин,1.06,Жёлтое золото,585.0,Родирование,Фианит,Круг,12.0,Бесцветный,0.102,2.4602927436935533,7.272491669751944,3.3737936154417225,126,10800,23990
3836,019042-11,Для женщин,1.59,Красное золото,585.0,Неизвестно,Фианит,Круг,34.0,Бесцветный,0.289,1.0,7.0,1.0,126,30600,67990
3837,019046-2,Для женщин,1.05,Жёлтое золото,585.0,Родирование,Фианит,Круг,1.0,Бесцветный,0.846,2.4602927436935533,7.272491669751944,3.3737936154417225,126,10800,23990
3838,019049-3,Для женщин,1.62,Белое золото,585.0,Родирование,Фианит,Круг,1.0,Бесцветный,1.455,2.4602927436935533,7.272491669751944,3.3737936154417225,127,21600,47990
3839,019050-3,Для женщин,1.66,Белое золото,585.0,Родирование,Фианит,Круг,1.0,Бесцветный,0.846,2.4602927436935533,7.272491669751944,3.3737936154417225,127,17100,37990
3840,019052-2,Для женщин,2.07,Жёлтое золото,585.0,Родирование,Фианит,Круг,24.0,Бесцветный,2.11,2.4602927436935533,7.272491669751944,3.3737936154417225,127,21600,47990
3841,019053-3,Для женщин,1.8,Белое золото,585.0,Родирование,Фианит,Круг,1.0,Бесцветный,0.618,2.4602927436935533,7.272491669751944,3.3737936154417225,127,18000,39990
3842,019066-2,Для женщин,1.42,Жёлтое золото,585.0,Родирование,Фианит,Круг,1.0,Бесцветный,0.297,2.4602927436935533,7.272491669751944,3.3737936154417225,127,18000,39990
3843,019070-3,Для женщин,1.01,Белое золото,585.0,Родирование,Без вставок,Без вставок,0.0,Без вставок,0.0,2.4602927436935533,7.272491669751944,3.3737936154417225,127,13050,28990
3844,019083-2,Для женщин,1.14,Жёлтое золото,585.0,Родирование,Фианит,Круг,1.0,Бесцветный,0.618,2.0,6.0,5.0,127,11700,25990
3845,019087-2,Для женщин,1.11,Жёлтое золото,585.0,Родирование,Фианит,Круг,1.0,Бесцветный,0.451,2.0,4.0,5.0,127,10800,23990
3846,019087-3,Для женщин,1.22,Белое золото,585.0,Родирование,Фианит,Круг,1.0,Бесцветный,0.451,2.0,4.0,5.0,127,13050,28990
3847,019088-4,Для женщин,1.46,Красное золото,375.0,"Алмазная грань,  Родирование",Без вставок,Без вставок,0.0,Без вставок,0.0,1.0,11.0,2.0,127,10350,22990
3848,019092-11,Для женщин,1.25,Красное золото,585.0,Неизвестно,Фианит,Круг,1.0,Бесцветный,0.846,2.0,5.0,4.0,127,26100,57990
3849,019092-2,Для женщин,1.17,Жёлтое золото,585.0,Родирование,Фианит,Круг,1.0,Бесцветный,0.846,2.4602927436935533,7.272491669751944,3.3737936154417225,127,11250,24990
3850,019098-2,Для женщин,2.05,Жёлтое золото,585.0,Неизвестно,Фианит,Круг,87.0,Бесцветный,0.74,2.4602927436935533,7.272491669751944,3.3737936154417225,127,30600,67990
3851,019101-2,Для женщин,2.14,Жёлтое золото,585.0,Родирование,Фианит,Круг,17.0,Бесцветный,0.145,2.4602927436935533,7.272491669751944,3.3737936154417225,127,21600,47990
3852,019116-2,Для женщин,1.59,Жёлтое золото,585.0,Родирование,Фианит,Круг,1.0,Бесцветный,0.846,2.4602927436935533,7.272491669751944,3.3737936154417225,127,15750,34990
3853,019118,Для женщин,1.1,Красное золото,585.0,Родирование,Фианит,Круг,1.0,Бесцветный,0.451,2.4602927436935533,7.272491669751944,3.3737936154417225,127,11250,24990
3854,019121-2,Для женщин,1.28,Жёлтое золото,585.0,Родирование,Фианит,Круг,1.0,Бесцветный,0.201,2.4602927436935533,7.272491669751944,3.3737936154417225,127,12600,27990
3855,019121-3,Для женщин,1.23,Белое золото,585.0,Родирование,Фианит,Круг,1.0,Бесцветный,0.201,2.4602927436935533,7.272491669751944,3.3737936154417225,127,13050,28990
3856,019124-3,Для женщин,1.14,Белое золото,585.0,Родирование,Фианит,Круг,7.0,Бесцветный,0.301,1.0,6.0,4.0,127,12150,26990
3857,019127-2,Для женщин,1.89,Жёлтое золото,585.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,10.0,10.0,1.0,127,27000,59990
3858,019138-2,Для женщин,2.24,Жёлтое золото,585.0,Алмазная грань,Без вставок,Без вставок,0.0,Без вставок,0.0,4.0,6.0,1.0,127,31500,69990
3859,019140-2,Для женщин,0.88,Жёлтое золото,585.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,1.0,4.0,2.0,127,12600,27990
