,Артикул,Бренд,Коллекция,Для кого,Примерный вес,Тип металла,Проба,Покрытие,Тип вставки,Форма вставки,Количество,Цвет,Вес,Размеры вставки,Ширина кольца,Ширина,Высота,Цена со скидкой,Цена без скидки,Номер страницы,Тип вставки 2,Количество 2,Вес 2,Длина,Форма вставки 2,Цвет 2,Размеры вставки 2,Тип вставки 3,Форма вставки 3,Количество 3,Цвет 3,Вес 3,Размеры вставки 3,Тип вставки 4,Форма вставки 4,Количество 4,Цвет 4,Вес 4,Размеры вставки 4,Тип вставки 5,Форма вставки 5,Количество 5,Цвет 5,Вес 5,Размеры вставки 5,Тип вставки 6,Форма вставки 6,Количество 6,Цвет 6,Вес 6,Размеры вставки 6,Тип вставки 7,Форма вставки 7,Количество 7,Цвет 7,Вес 7,Размеры вставки 7,Тип вставки 8,Форма вставки 8,Количество 8,Цвет 8,Вес 8,Размеры вставки 8,Тип вставки 9,Форма вставки 9,Количество 9,Цвет 9,Вес 9,Размеры вставки 9,Тип вставки 10,Форма вставки 10,Количество 10,Цвет 10,Вес 10,Размеры вставки 10,Тип вставки 11,Форма вставки 11,Количество 11,Цвет 11,Вес 11,Размеры вставки 11,Тип вставки 12,Форма вставки 12,Количество 12,Цвет 12,Вес 12,Размеры вставки 12,Цветность,Чистота,Цветность 2,Чистота 2,Цветность 3,Чистота 3,Огранка,Огранка 2,Огранка 3,Цветность 4,Чистота 4,Цветность 5,Чистота 5,Цветность 6,Чистота 6,Цветность 7,Чистота 7,Огранка 4,Тип вставки 13,Форма вставки 13,Количество 13,Цвет 13,Вес 13,Размеры вставки 13,Огранка 5,Цветность 8,Чистота 8,Цветность 9,Чистота 9,Цветность 10,Чистота 10,Тип вставки 14,Форма вставки 14,Количество 14,Цвет 14,Вес 14,Размеры вставки 14
11,93110025,SOKOLOV,,"Для женщин, Для мужчин, Унисекс",3.09 г,Золочёное серебро,925,,Без вставок,,,,,,,,,2070,4590,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,94010011,SOKOLOV,,Для женщин,1.68 г,Родированное серебро,925,,Фианит,Круг,1 шт,Бесцветный,0.618 карат,"4, 5 мм",,,,1800,5990,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,94010135,SOKOLOV,,Для женщин,1.99 г,Родированное серебро,925,,Фианит,Круг,15 шт,Бесцветный,0.248 карат,"1, 25 мм",,,,2520,5590,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,94010279,SOKOLOV,,Для женщин,2.28 г,Родированное серебро,925,,Фианит,Круг,1 шт,Бесцветный,2.246 карат,7 мм,,,,2700,5990,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,94010434,SOKOLOV,,Для мужчин,4.18 г,Родированное серебро,925,Эмаль,Фианит,Квадрат,4 шт,Бесцветный,0.326 карат,2 мм * 2 мм,4 мм,9 мм,3 мм,5170,11490,34,Эмаль,1 шт,0.48 карат,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,94010437,SOKOLOV,,Для мужчин,3.88 г,Родированное серебро,925,Эмаль,Фианит,Круг,2 шт,Бесцветный,0.086 карат,"1, 75 мм",,,,3820,8490,34,Эмаль,1 шт,0.48 карат,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,94010628,SOKOLOV,,Для женщин,1 г,Родированное серебро,925,,Фианит,Круг,1 шт,Бесцветный,0.088 карат,"2, 25 мм",,,,1440,3190,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,94010629,SOKOLOV,SKLV,Для женщин,0.69 г,Родированное серебро,925,,Фианит,Круг,1 шт,Бесцветный,0.158 карат,"2, 75 мм",,,,1620,3590,34,Фианит,16 шт,0.136 карат,,Круг,Бесцветный,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,94010696,SOKOLOV,,Для женщин,4.57 г,Родированное серебро,925,,Фианит,Круг,1 шт,Бесцветный,0.066 карат,2 мм,,,,5850,12990,34,Фианит,46 шт,0.391 карат,,Круг,Бесцветный,1 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,94010706,SOKOLOV,,Для женщин,1.95 г,Родированное серебро,925,,Фианит,Круг,4 шт,Бесцветный,0.034 карат,1 мм,,,,1200,3990,34,Фианит,14 шт,0.231 карат,,Круг,Бесцветный,"1, 25 мм",Фианит,Овал,1 шт,Бесцветный,1.976 карат,8 мм * 6 мм,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
